septuagint,text
0,Adam d. 3074. 930
0,Seth d. 2962. 912
0,Enos d. 2864. 905
0,Canian d. 2769. 910
0,Mahalaleel d. 2714. 895
0,Jared d. 2582. 962
0,Enoch d. 3017. 365
0,Methuselah d. 2349. 969
0,Lamech d. 2353. 777
0,Noah d. 1998. 950
0,Shem d. 1846. 600
0,Arphaxad d. 1908. 438
0,Salah d. 1878. 433
0,Heber d. 1817. 464
0,Peleg d. 2008. 239
0,Reu d. 1978. 239
0,Serug d. 1955. 230
0,Nahor d. 2007. 148
0,Terah d. 1921. 205
0,Abraham d. 1821. 175
0,Ishmael d. 1773. 137
0,Isaac d. 1716. 180
0,Jacob d. 1689. 147
0,Levi d. 1619. 137
0,Joseph d. 1635. 110
0,Cohath d. 1578. 133
0,Amram d. 1514. 137
0,Moses d. 1451. 120
0,Aaron d. 1452. 121
0,Joshua d. 1426. 110
0,Othniel fl. 1405
0,Ehud d. 1305
0,Gideon d. 1236
0,Jephtha fl. 1188
0,Eli d. 1117. 98
1,Noah d. 2780. 950
1,Shem d. 2638. 600
1,Arphaxad d. 2595. 535
1,Cainan d. 2533. 460
1,Salah d. 2403. 460
1,Heber d. 2329. 404
1,Peleg d. 2260. 339
1,Reu d. 2130. 339
1,Serug d. 2007. 230
1,Nahor d. 1903. 304
